link,0_count,1_count,2_count,avg_speed,max_speed,min_speed,avg_eta,max_eta,min_eta,avg_cnt,max_cnt,min_cnt,0_prob,1_prob,2_prob
100234,2890.0,7812.0,80.0,24.380849896879425,82.8,0.0,20.741212325625888,82.8,0.0,1.1080828554269182,7.0,0.0,0.26803932480059356,0.7245409015025042,0.007419773696902244
100270,3718.0,8127.0,344.0,28.223676950663474,57.6,0.0,18.082765094232705,52.3,0.0,1.153255053622796,8.0,0.0,0.30502912462055953,0.6667487078513413,0.028222167528099106
100332,272.0,30319.0,560.0,36.05677681706475,61.1,0.0,31.04071080058897,79.2,0.0,6.108938662410932,32.0,0.0,0.00873166190491477,0.9732913871143783,0.01797695098070688
100394,755.0,33941.0,294.0,37.31305922167091,59.2,0.0,34.86222767844675,79.1,0.0,5.587138333305347,30.0,0.0,0.021577593598170904,0.9700200057159188,0.00840240068591026
100395,731.0,32256.0,257.0,38.70234374920775,81.0,0.0,37.56751911786708,81.0,0.0,4.313062482306304,31.0,0.0,0.021988930333293227,0.9702803513415955,0.007730718325111298
100509,357.0,24586.0,238.0,44.847297316627944,76.6,0.0,36.939333886887255,83.9,0.0,3.4735379821869548,17.0,0.0,0.014177355942972876,0.9763710734283786,0.009451570628648584
100514,1720.0,26081.0,1937.0,27.444901599431198,82.1,0.0,24.791699761763745,82.1,0.0,3.533273129547209,17.0,0.0,0.057838455847736905,0.8770260273051315,0.06513551684713162
100515,1886.0,25034.0,1759.0,27.265890771632613,82.1,0.0,20.64410665899066,82.1,0.0,3.4768247188409704,17.0,0.0,0.065762404546881,0.8729035182537745,0.061334077199344465
100520,165.0,32862.0,2496.0,31.630528046235376,68.1,0.0,22.082776581086748,73.9,0.0,13.057252081292251,36.0,0.0,0.004644877966387974,0.9250907862511613,0.07026433578245081
100528,69.0,32969.0,134.0,36.68225876450391,75.0,0.0,43.502089043689594,82.8,0.0,10.27850443674675,31.0,0.0,0.0020800675268298563,0.9938803810442541,0.004039551428915953
100578,741.0,23487.0,4139.0,24.90009891023314,58.8,0.0,20.569630164531702,59.7,0.0,7.8516910635783645,30.0,0.0,0.026121902210314803,0.8279691190467797,0.14590897874290548
100579,659.0,26172.0,1897.0,30.050746657662394,59.9,0.0,26.980780508500516,59.9,0.0,8.54062999976859,39.0,0.0,0.02293929267613478,0.9110275689223057,0.06603313840155946
100650,7562.0,8372.0,417.0,25.520878099333984,52.1,0.0,16.911673949071062,59.3,0.0,1.3822296372009415,7.0,0.0,0.4624793590606079,0.5120176136016146,0.025503027337777505
